"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 25 20:30:21 GMT 2023","Sat Nov 25 20:30:22 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"broken","Sat Nov 25 20:30:17 GMT 2023","Sat Nov 25 20:30:18 GMT 2023","1615","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"broken","Sat Nov 25 20:30:19 GMT 2023","Sat Nov 25 20:30:20 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"broken","Sat Nov 25 20:30:18 GMT 2023","Sat Nov 25 20:30:19 GMT 2023","666","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"broken","Sat Nov 25 20:30:25 GMT 2023","Sat Nov 25 20:30:26 GMT 2023","663","","","","","","Ingresar letra repetida",""
"broken","Sat Nov 25 20:30:20 GMT 2023","Sat Nov 25 20:30:21 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"broken","Sat Nov 25 20:30:24 GMT 2023","Sat Nov 25 20:30:25 GMT 2023","664","","","","","","Ingresar letra incorrecta",""
"broken","Sat Nov 25 20:30:23 GMT 2023","Sat Nov 25 20:30:24 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"broken","Sat Nov 25 20:30:22 GMT 2023","Sat Nov 25 20:30:22 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"broken","Sat Nov 25 20:30:24 GMT 2023","Sat Nov 25 20:30:24 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"broken","Sat Nov 25 20:30:22 GMT 2023","Sat Nov 25 20:30:23 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"broken","Sat Nov 25 20:30:20 GMT 2023","Sat Nov 25 20:30:20 GMT 2023","665","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
